row;position;condition;heigth;species;ants;locusts;notes
1;1;4;50;Y;;;2 Bäumchen nebeneinander, 1 später weg
1;2;3;50;G;;;
1;3;2;50;Y;;;erholt sich
1;4;3;120;Cu;;;
1;5;3;70;Y;;;
1;6;4;> 200;Cu;;;
1;7;2;40;Y;;;erholt sich
1;8;3;180 ;L;;;Guachavi versetzen?
1;9;2;40;Y;;;
1;10;3;50;G;;;
1;11;2;30;Y;;;Austauschen? vermutlich tot
1;12;2;40;G;;;Austauschen?
1;13;2;50;Y;;;
1;14;3;60;Y;;;
1;15;3;90;Y;;;
1;16;3;90;Y;;;2 Bäumchen nebeneinander, 1 später weg
1;17;4;120;Y;;;
1;18;3;30;P;;x;erholt sich
1;19;4;140;Y;;;
1;20;4;90;G;;;
1;21;4;180 ;Cu;;;
1;22;3;90;Y;;;
1;23;4;130;G;;;Baum Nachbar muss abgesägt werden (wächst sonst zusammen)
1;24;3;120;Cu;;;
1;25;4;> 200;U;;;Baum Nachbar muss abgesägt werden (wächst sonst zusammen)
1;26;3;110;G;;;
1;27;3;100;Cu;;;Ersatzlieferung 10/23
1;28;4;180 ;Y;x;;Baum Nachbar muss abgesägt werden (wächst sonst zusammen)
1;29;3;60;G;;;
1;30;4;200 ;Cu;;;
1;31;4;130;Y;;;
1;32;4;150;Y;;;
1;33;4;> 200;U;;;
1;34;4;160;G;;x;
1;35;4;120;P;;x;
1;36;4;180 ;Y;;;
1;37;4;> 200;Y;;;
1;38;4;130;Y;;;
1;39;3;90;P;;x;
2;1;4;130;G;;;
2;2;3;120;Cu;;;
2;3;2;25;Y;;;Austauschen?
2;4;3;50;G;;;
2;5;0;;C;;;
2;6;3;80;Y;;;
2;7;2;40;G;;;
2;8;2;25;C;;;Austauschen?
2;9;3;180 ;Cu;;;
2;10;2;40;Cu;;;
2;11;0;;Y;;;
2;12;0;;Cu;;;
2;13;2;40;G;;;
2;14;2;40;Y;;;
2;15;3;100;G;;;
2;16;3;150;Cu;;;
2;17;4;180 ;Cu;;;
2;18;3;40;G;;;
2;19;2;30;P;;;erholt sich
2;20;3;50;Y;;;
2;21;3;50;P;;x;
2;22;2;40;L;;;Ersatzlieferung 10/23
2;23;3;110;P;;x;
2;24;2;40;Y;;;
2;25;3;50;Y;;;
2;26;2;50;L;;;
2;27;3;40;Y;;;
2;28;3;160;Ti;;;Ersatzlieferung 10/23
2;29;3;60;Y;;;
2;30;3;60;P;;x;
2;31;3;80;U;;;
2;32;3;70;G;;;
2;33;4;160;Cu;x;;
2;34;3;120;Y;;;Strauch nebenan weg
2;35;3;160;Cu;;;
2;36;3;90;Y;;;
2;37;3;110;Y;;;
2;38;4;> 200;U;;;
2;39;4;180 ;Y;;;
3;1;4;200 ;Cu;;;Baum Nachbar muss abgesägt werden (wächst sonst zusammen)
3;2;3;60;Y;;;
3;3;3;50;G;;;
3;4;0;;C;;;nichts zu sehen
3;5;2;40;Y;;;
3;6;3;160;Ti;;;Ersatzlieferung 10/23 2 Bäumchen nebeneinander, 1 später weg
3;7;3;100;Cu;;;
3;8;3;30;Y;;;Austauschen? 2 Bäumchen nebeneinander, 1 später weg
3;9;3;40;G;;;
3;10;0;;P;;;nichts zu sehen
3;11;0;;C;;;Stock fehlt
3;12;4;120;Ti;;;Ersatzlieferung 10/23
3;13;3;70;Cu;;;
3;14;4;90;Ti;;;Ersatzlieferung 10/23
3;15;4;160;Cu;;;
3;16;3;30;G;;;
3;17;3;20;L;;;Strauch nebenan weg erholt sich
3;18;2;40;Y;;;
3;19;3;40;Y;;;
3;20;3;40;Y;;;
3;21;3;20;L;;;Ersatzlieferung 10/23
3;22;2;40;Y;;;
3;23;4;60;Y;;;Stock fehlt
3;24;3;50;G;;;
3;25;4;160;Cu;;;
3;26;2;40;Y;;;
3;27;4;150;U;;;
3;28;4;180 ;Cu;;;
3;29;3;40;P;;;
3;30;3;40;G;;;
3;31;4;180 ;G;;;
3;32;4;100;Y;;;
3;33;2;30;L;;;
3;34;2;20;G;;;Ersatzlieferung 10/23
3;35;2;25;Y;;;Austauschen?
3;36;3;50;P;;;Stock fehlt
3;37;4;160;Cu;;;
3;38;4;100;G;;;
3;39;4;130;Y;;;Baum Nachbar muss abgesägt werden (wächst sonst zusammen)
4;1;4;> 200;Y;;;
4;2;2;40;G;;;
4;3;4;> 200;Cu;;;
4;4;2;40;Y;;;
4;5;4;160;Cu;;;
4;6;3;130;Cu;;;
4;7;2;40;Y;;;Austauschen?
4;8;2;20;P;;;
4;9;2;40;L;;;
4;10;2;40;Y;;;
4;11;2;40;G;;;
4;12;2;30;Y;;;erholt sich
4;13;2;30;Y;;;Austauschen?
4;14;2;30;Y;;;erholt sich
4;15;;;;;;Altbestand (Yvyra pyta)
4;16;2;40;Y;;;Austauschen?
4;17;3;60;Ti;;;Ersatzlieferung 10/23
4;18;4;180 ;Cu;;;
4;19;3;50;L;;;
4;20;2;20;G;;;Ersatzlieferung 10/23
4;21;2;10;P;;;Austauschen? erholt sich
4;22;2;40;Y;;;
4;23;2;50;L;;;
4;24;3;40;Y;;;
4;25;2;40;Y;;;
4;26;2;30;G;;;
4;27;4;160;Cu;;;
4;28;3;60;Y;;;
4;29;3;40;L;;;
4;30;3;50;Y;;;
4;31;4;100;L;;;
4;32;3;40;P;;;
4;33;3;50;Y;;;
4;34;2;30;Y;;;Austauschen?
4;35;4;160;Cu;;;
4;36;3;40;L;;;erholt sich
4;37;2;40;Y;;;
4;38;4;120;L;;;
4;39;3;80;P;;x;
5;1;4;100;G;;;
5;2;4;> 200;Cu;;;
5;3;3;40;Y;;;
5;4;3;40;G;;;
5;5;0;;C;;;
5;6;2;30;Y;;;
5;7;0;;C;;;
5;8;2;30;G;;;Austauschen? vermutlich tot
5;9;2;20;P;;;Austauschen? vermutlich tot
5;10;2;30;G;;;Austauschen?
5;11;3;40;Y;;;
5;12;2;60;L;;;
5;13;3;50;Ti;;;Ersatzlieferung 10/23
5;14;2;20;G;;;Austauschen? vermutlich tot
5;15;2;15;L;;;Ersatzlieferung 10/23
5;16;4;> 200;Cu;;;
5;17;4;200 ;Cu;;;
5;18;2;20;L;;;
5;19;2;30;Y;;;Austauschen? vermutlich tot
5;20;0;;Y;;;
5;21;2;15;P;;;erholt sich
5;22;4;180 ;Cu;;;
5;23;3;50;Y;;;
5;24;3;50;L;;;
5;25;4;160;Ti;;;Ersatzlieferung 10/23
5;26;3;40;L;;;
5;27;2;30;C;;;
5;28;3;30;G;;;
5;29;3;40;L;;;
5;30;2;40;C;;;
5;31;3;40;Y;;;
5;32;2;10;G;;;Ersatzlieferung 10/23
5;33;3;30;L;;;
5;34;2;30;P;;;erholt sich
5;35;3;50;Y;;;
5;36;0;;L;;;
5;37;4;180 ;Cu;;;
5;38;4;120;Y;;;
